description|puntos|price|variety|bodegas
A blend of 60% Prokupac and 40% Cabernet Sauvignon this Serbian wine smells of red cherry and blackberry. It is full bodied, while tasting of black cherry and blackberry. The finish is fruit filled with a touch of leather.|89|40.0|Red Blend|Budimir
Delicious scents of honey, apples and petrol lead to a luscious, full-bodied palate full of smoke and honey with a gripping lime skin astringency on the finish. Rich in honey tones, yet quite dry, the palate is balanced with a bracing acidity.|87|16.0|Riesling|Château Bela
This sweet wine is nut brown in color, with aromas of dried prunes, caramelized pears and raisins. The palate is driven by sweet, dried fruit tones, balanced by bright acidity.|90|60.0|Merlot-Cabernet Franc|Batič
Only 95 cases were made of this Bordeaux-style blend of 43% Cabernet Sauvignon, 33% Malbec and 24% Cabernet Franc. It's a stellar example of the high-end and highly cellarable wines that can come out of South Africa, oozing with depth, concentration and complexity, all in a harmonious, balanced package. It's dark and brooding right off the bat, boasting firm, tight blackberry, cherry and cassis fruit that's coupled with hints of raspberry sauce, pressed violets and baking spice. The palate is strong and packed with black fruit flavors that lead into a long, evolving finish of char, espresso bean, cigar and woodspice. Firmly structured and robust in feel, try from 2022–2028, though it could mature well even beyond.|95|330.0|Bordeaux-style Red Blend|De Toren
Luscious prune and blackberry aromas come with complex notes of graphite, toast and tobacco. The palate on this 80-case, high-end Tinto Fino is about as full as they come while still maintaining impeccable balance. Roasted berry, cassis and salty leather flavors are delicious but also challenging, while baked berry flavors, raw power and ripe tannins define the finish. Drink this outstanding Spanish wine from 2014 through 2024.|98|450.0|Tinto Fino|Emilio Moro
A Swiss blend of Pinot Noir and Gamay, this delightful wine has aromas of mint and black raspberry and flavors of cherry, red raspberry, fig and tobacco leaf. The finish is generous and long lasting.|90|30.0|Pinot Noir-Gamay|Robert Gilliard
Aromas of black cherry, brambly berry, violet and oregano give way to sophisticated flavors of dark fruit, spice and leather. This nicely balanced Syrah offers harmonious tannins, with just a touch of grippiness, leading to a smooth, somewhat savory finish.|92|38.0|Syrah|Kavaklidere
This medium-bodied rosé has aromas of strawberries and rose petals, and flavors of cherry, strawberry and tart cherry. The finish is clean, with a slight touch of residual sweetness on the palate.|84|6.0|Rosé|Côtnar Hills
Tasted in a flight of great and famous Napa wines, this Cardinale stood at the head of the pack. Starts with a very fine nose of cedar, cassis, ripe blackberries and violets, then turns dramatic and refined in the mouth. Shows vast depth and length, with the finish a full minute of sweet fruits and spices. Marvelous tannins, so plush and elegant, so powerful yet refined. The grapes hail from Mt. Veeder, Howell Mountain, Stags Leap and Oakville, and the blend contains 14% Merlot. As good as it is now, it will improve for at least eight years.|100|200.0|Cabernet Sauvignon|Cardinale
Dried blackberry aromas include welcome notes of cigar box and tar. This moderately complex Tannat is lush, round and smooth. Flavors of black plum and blackberry are supported by toasty oak, while this tastes blackened and spicy on a silky smooth finish. Drink through 2022.|92|43.0|Tannat|Bouza
